company	amt	amtRatio	contracts	contRatio	employees
The Research Foundation Of State University Of New York	1632722.38	0.003	23	0.0468	9894
Stormcenter Communications Incorporated	149989.0	0.0019	1	0.002	6
Mpf Products Incorporated	43659.0	0.0018	1	0.002	35
Magnet Forensics Incorporated	15772.0	0.0018	1	0.002	10
Instrument Specialties Incorporated	29461.0	0.0018	1	0.002	10
Millennium Group International, Llc	398064.0	0.0021	4	0.0081	5
Johnson, Randy	21963.0	0.0018	1	0.002	10
Tri-technic Incorporated	297792.0	0.002	1	0.002	15
Ss Spv Llc	339.0	0.0018	1	0.002	240
Macdonald, Dettwiler And Associates Incorporated	65582.0	0.0018	1	0.002	2200
Honeywell International Incorporated	1155767.86	0.0026	12	0.0244	84000
Iowa State University Of Science And Technology	86621.2	0.0018	3	0.0061	13929
Hawker Pacific Aerospace	144291.44	0.0019	1	0.002	2000
3datum Cnc Solutions	5512.5	0.0018	1	0.002	1
Paratools Incorporated	124983.0	0.0019	1	0.002	6
Performance Training Systems	3596.0	0.0018	1	0.002	10
Altair Engineering Incorporated	54824.0	0.0018	3	0.0061	2000
Centorr Vacuum Industries Incorporated	13825.0	0.0018	1	0.002	43
Technik Incorporated	1473782.48	0.0029	13	0.0265	16
Metalspun Products Co Incorporated	-3.76	0.0018	1	0.002	18
Electrodynamic Applications Incorporated	124793.0	0.0019	1	0.002	10
Blue Wave Semiconductors Incorporated	245938.0	0.0019	1	0.002	6
Core Engineering & Construction Incorporated	1212781.0	0.0027	1	0.002	28
Granta Design Ltd	89093.0	0.0018	3	0.0061	125
San Jose State University Research Foundation	281160.17	0.002	5	0.0102	1500
Essential Space Incorporated	6825.0	0.0018	1	0.002	5
Fabreeka International Incorporated	-79885.0	0.0017	1	0.002	33
Photron Usa Incorporated	152310.99	0.0019	3	0.0061	150
Innovative Scientific Solutions Incorporated	737928.0	0.0023	1	0.002	64
Icubate Incorporated	-2625.0	0.0018	1	0.002	7
Dell Marketing Limited Partnership	35328.12	0.0018	6	0.0122	0
Automated Machine & Technology Incorporated	47952.0	0.0018	2	0.0041	32
Opto-knowledge Systems Incorporated	124181.0	0.0019	1	0.002	13
Morgan State University (inc)	219428.0	0.0019	3	0.0061	1358
Human Circuit Incorporated	29341.98	0.0018	1	0.002	35
Refrigeration Engineering & Contracting Co Incorporated	7224.82	0.0018	2	0.0041	33
Allegheny Technology Corporation	32816.84	0.0018	1	0.002	1
Sand Point Services, Llc	1878673.34	0.0032	1	0.002	22
Bluewater Mfg. Incorporated	3186.1	0.0018	1	0.002	14
Ge Thermometrics Incorporated	12488.0	0.0018	2	0.0041	350000
The Writing Center Incorporated	4527.22	0.0018	3	0.0061	2
Capitol College	-1316.7	0.0018	1	0.002	90
The Aerospace Corporation	8304102.72	0.0079	78	0.1589	4000
Air Science Usa, Llc	3986.0	0.0018	1	0.002	5
Security Engineered Machinery Co Incorporated	367325.0	0.002	1	0.002	45
Phase Iv Engineering Incorporated	-14.32	0.0018	1	0.002	15
Papco Incorporated	-533.78	0.0018	1	0.002	120
Droplet Measurement Technologies Incorporated	10578.0	0.0018	2	0.0041	51
Tactical Office Solutions Incorporated	6556.85	0.0018	1	0.002	10
Pivotal Utility Holdings Incorporated	5917.67	0.0018	1	0.002	1100
Omegadyne Incorporated	4963.75	0.0018	1	0.002	700
Cal Poly Corporation	123759.0	0.0019	1	0.002	3615
Texas A & M Research Foundation	61213.75	0.0018	3	0.0061	128
Re/max Affiliates-relo. Services	-1429195.8	0.0007	9	0.0183	36
Planning, Arrangements, Logistics Specialists, Llc	630.52	0.0018	3	0.0061	10
Hdr Engineering Incorporated	3161689.55	0.0041	1	0.002	6500
Knighto, Llc	3499.68	0.0018	1	0.002	60
Materion Advanced Materials Technologies And Services Incorporated	-2698.82	0.0018	1	0.002	1000
Elsevier Incorporated	12028.23	0.0018	3	0.0061	6500
Delphi Automotive Systems, Llc	11792.0	0.0018	1	0.002	117000
Cullimore And Ring Technologies Incorporated	1689.83	0.0018	4	0.0081	11
Arbin Corporation	44951.32	0.0018	1	0.002	43
Atlantic Management Center Incorporated	113760.0	0.0018	9	0.0183	35
Automata Studios, Ltd	49925.0	0.0018	1	0.002	11
Bosco Oil Incorporated	21393.74	0.0018	2	0.0041	41
Electric Propulsion Laboratory Incorporated	893224.0	0.0024	2	0.0041	15
Paul N. Gardner Company Incorporated	28144.0	0.0018	1	0.002	31
Computadores Modulares Sa	9196.0	0.0018	1	0.002	15
Livermore Software Technology Corporation	9375.0	0.0018	1	0.002	55
Tuskegee University	-123.2	0.0018	1	0.002	793
Chroma Systems Solutions Incorporated	-198.68	0.0018	1	0.002	1200
Zona Technology Incorporated	1010201.0	0.0025	5	0.0102	11
United Space Alliance, Llc	5264075.92	0.0057	2	0.0041	10500
Gevo Incorporated	-86.69	0.0018	1	0.002	120
Hb Communications Incorporated	6241.46	0.0018	1	0.002	355
Transgroup Express Incorporated	1112.76	0.0018	1	0.002	40
Mentor Graphics Corporation	13446.0	0.0018	3	0.0061	4800
Triad Technology Partners, Llc	7524.55	0.0018	1	0.002	1
Sps Industrial Incorporated	8617.25	0.0018	1	0.002	9
Research Triangle Institute	707002.0	0.0023	5	0.0102	0
Rede Incorporated	-3284.53	0.0018	1	0.002	100
Rdf Corporation	28347.55	0.0018	1	0.002	75
Coherent Incorporated	16159.9	0.0018	1	0.002	2000
Eckert & Ziegler Analytics Incorporated	46.43	0.0018	1	0.002	400
Labsphere Incorporated	18628.4	0.0018	3	0.0061	90
Accelogic, Llc	748421.0	0.0023	1	0.002	5
Precise Tool & Manufacturing Incorporated	8684.0	0.0018	3	0.0061	110
Saab Sensis Corporation	1446589.0	0.0028	3	0.0061	14054
Fine Circuits Incorporated	13970.2	0.0018	2	0.0041	12
Advanced Measurement Technology Incorporated	90657.25	0.0018	4	0.0081	10000
Arrow Controls Llc	12825.0	0.0018	1	0.002	4
Recinto Universitario Mayaguez	59619.0	0.0018	1	0.002	2739
Teledyne Technologies Incorporated	26383.0	0.0018	2	0.0041	501
A&t Marketing Incorporated	38855.0	0.0018	2	0.0041	6
Cpr One Corporation	16881.0	0.0018	1	0.002	1
Ems Technologies Canada, Ltd	64651.0	0.0018	1	0.002	1100
Hunton Brady Architects, P.A.	348537.0	0.002	1	0.002	64
Griffin Motion Llc	31615.53	0.0018	1	0.002	7
Aviall Services Incorporated	97357.04	0.0018	9	0.0183	159000
Ht Foundation Holdings Incorporated	139032.0	0.0019	3	0.0061	4
Trek Incorporated	4828.0	0.0018	1	0.002	129
M&d Mechanical Contractors Incorporated	316647.66	0.002	7	0.0143	180
Oxford Instruments America Incorporated	72265.0	0.0018	1	0.002	501
Rdt Enterprises, Llc	536121.87	0.0022	6	0.0122	8
Advanced Circuits Incorporated	4330.02	0.0018	3	0.0061	523
Toroid Corp	-268112.0	0.0016	1	0.002	20
Aardvark Tactical Incorporated	8231.25	0.0018	1	0.002	0
M. Braun Incorporated	13223.48	0.0018	1	0.002	5862
Cleveland Clinic Lerner College Of Medicine/cwru	-2121.95	0.0018	1	0.002	100
Telophase Corporation	-274.47	0.0018	1	0.002	17
Jeti Technische Instrumente Gmbh	12387.0	0.0018	1	0.002	15
C W Hines And Associates Incorporated	14995.0	0.0018	1	0.002	9
Continuum Dynamics Incorporated	372344.0	0.002	3	0.0061	22
Combimatrix Corporation	-1.0	0.0018	1	0.002	60
Burns And Mc Donnell Incorporated	55140.48	0.0018	2	0.0041	1900
Steelray Software Llc	3185.0	0.0018	1	0.002	7
Ii-vi Incorporated	15362.0	0.0018	1	0.002	6052
Kistler Instrument Corporation	16451.0	0.0018	1	0.002	1200
Sierra Lobo Incorporated	14084445.62	0.0122	42	0.0855	512
T.E.A.M. Incorporated	131801.0	0.0019	2	0.0041	22
University Of Texas At San Antonio	-724.62	0.0018	1	0.002	5275
Environmental Group Services, Ltd	4884.0	0.0018	1	0.002	9
Professional Sales Group Of North Alabama Incorporated	6375.0	0.0018	1	0.002	6
Global Parts Incorporated	6593.0	0.0018	2	0.0041	53
Zygo Corporation	57506.12	0.0018	5	0.0102	594
Bettergy Corporation	129946.0	0.0019	1	0.002	11
United Negro College Fund Special Programs Corporation	-1095950.34	0.0009	6	0.0122	35
Sword And Shield Enterprise Security Incorporated	1767398.43	0.0031	43	0.0876	27
Kt Engineering Corporation	99792.0	0.0018	1	0.002	16
University Of Houston System	717893.82	0.0023	9	0.0183	7800
M A Federal Incorporated (2233)	100926.53	0.0018	7	0.0143	80
Adorama Incorporated	37218.7	0.0018	2	0.0041	47
Sono-tek Corporation	28765.09	0.0018	2	0.0041	45
Navar Incorporated	250328.69	0.0019	6	0.0122	11
The Trustees Of Mount Holyoke College	211627.0	0.0019	2	0.0041	1811
3d Systems Incorporated	-1700.19	0.0018	2	0.0041	711
Beta Lasermike Incorporated	12685.0	0.0018	1	0.002	70
Veristor Systems Incorporated	11443.5	0.0018	1	0.002	45
Applied Geosolutions Llc	123581.0	0.0019	1	0.002	12
Inland Vacuum Industries Incorporated	3612.0	0.0018	1	0.002	14
University Of Cincinnati	-12657.69	0.0018	1	0.002	9734
Ofs Brands Holdings Incorporated	17621.6	0.0018	1	0.002	2000
Mcgill Airpressure Llc	1935.0	0.0018	1	0.002	225
Danoff And Donnelly Attorneys	76450.0	0.0018	10	0.0204	4
Sandvik Thermal Process Incorporated	13313.0	0.0018	1	0.002	45000
Global Aviation Services Incorporated	58.66	0.0018	1	0.002	10
Sherwood Enterprises Incorporated	7352.0	0.0018	1	0.002	9
Hogan Assessment Systems Incorporated	-591.86	0.0018	1	0.002	48
Northern Kentucky University Research Foundation Incorporated	39606.0	0.0018	2	0.0041	3563
Compunetix Incorporated	71375.0	0.0018	1	0.002	385
Cameron International Corporation	18375.0	0.0018	1	0.002	13833
Allied High Tech Products Incorporated	-48.63	0.0018	1	0.002	60
Morphotrust Usa, Llc	26065.0	0.0018	3	0.0061	1600
Foundation For Applied Molecular Evolution Incorporated	199532.0	0.0019	1	0.002	23
Shl Us Incorporated	14713.0	0.0018	1	0.002	200
Lyme Computer Systems Incorporated	135015.34	0.0019	15	0.0305	28
Institutes For Behavior Resources Incorporated	12995.0	0.0018	1	0.002	40
Baseline - Mocon Incorporated	122.92	0.0018	1	0.002	120
Legacy Components Llc	4625.0	0.0018	1	0.002	10
American Council For Technology Incorporated	4295.0	0.0018	1	0.002	0
Sistema Universitario Ana G. Mendez Incorporated	15378.0	0.0018	1	0.002	0
Mei Technologies Incorporated	752503.99	0.0023	4	0.0081	804
Mcdanel Advanced Ceramic Technologies, Llc	5167.84	0.0018	1	0.002	95
Northrop Grumman Space & Mission Systems Corporation	352575.0	0.002	2	0.0041	122600
Mound Laser & Photonics Center Incorporated	129949.0	0.0019	1	0.002	50
Special Aerospace Services	127955.56	0.0019	2	0.0041	20
Newark Corporation	7124.85	0.0018	1	0.002	4400
Tissue Genesis Incorporated	311177.0	0.002	1	0.002	21
Deep Space Industries Incorporated	49812.0	0.0018	1	0.002	18
Protoinnovations, Llc	124931.0	0.0019	1	0.002	3
Hellmuth, Obata & Kassabaum Incorporated	-2832.6	0.0018	1	0.002	90
Rush Construction Incorporated	54103.0	0.0018	2	0.0041	24
Beam Engineering For Advanced Measurements	274413.0	0.002	2	0.0041	7
Hull & Assoc Inc Pa	3184.4	0.0018	1	0.002	2
Advance Mfg.Co Incorporated	19069.0	0.0018	3	0.0061	185
Webucator Incorporated	-2845.25	0.0018	1	0.002	2
Harry Pepper & Associates Incorporated	37879488.95	0.0299	7	0.0143	135
Temco Incorporated	33950.0	0.0018	3	0.0061	13
Northern Arizona University	255916.03	0.002	5	0.0102	3836
Ljt & Associates Incorporated	23195986.33	0.019	10	0.0204	155
Inmarsat Solutions (us) Incorporated	-14512.98	0.0017	1	0.002	1037
International Association Of Virtual Organizations Incorporated	749667.0	0.0023	1	0.002	10
Aero Prep Llc	17181.67	0.0018	2	0.0041	18
Sierra Instruments Incorporated	10078.0	0.0018	2	0.0041	75
Monterey Bay Aquarium Research Institute	-3.56	0.0018	1	0.002	288
Rfcuny - Medgar Evers College	-1518.19	0.0018	1	0.002	5000
Vanguard Space Technologies Incorporated	2416715.0	0.0036	4	0.0081	139
Alutiiq Pacific, Llc	7511528.18	0.0073	11	0.0224	272
Leica Geosystems Incorporated	73294.84	0.0018	2	0.0041	8600
David Clark Company Incorporated	7515.0	0.0018	1	0.002	240
Rotating Machinery Analys	4968.75	0.0018	1	0.002	1
First Rf Corporation	124956.0	0.0019	1	0.002	110
Crystalaser Llc	7619.0	0.0018	1	0.002	12
Traclabs Incorporated	19933.8	0.0018	1	0.002	19
Georgia Technology Professional Education	24992.0	0.0018	1	0.002	80
Technical Services Group Incorporated	4186.25	0.0018	1	0.002	7
Spellman High Voltage Electric Corporation	4299.0	0.0018	1	0.002	1000
Aerospace Engineering Associates Llc	99900.0	0.0018	4	0.0081	1
Symbolic Technology Incorporated	82955.5	0.0018	1	0.002	3
Teledyne Reynolds Incorporated	-1533.2	0.0018	1	0.002	7000
Perrone-ambrose Associates Incorporated	17916.0	0.0018	4	0.0081	4
Board Of Regents Nevada System Of Higher Education	125733.0	0.0019	1	0.002	4916
Rockwell Collins Incorporated	1191841.0	0.0026	3	0.0061	20000
Allied Electronics Incorporated	732.0	0.0018	1	0.002	608
Instituto Presbiteriano Mackenzie.	77433.0	0.0018	1	0.002	1
Concur Technologies Incorporated	116386.4	0.0018	1	0.002	1195
Cdw Government Llc	883131.13	0.0024	17	0.0346	5061
The Scientific Committee On Oceanic Research Incorporated	135971.0	0.0019	1	0.002	0
Maclean Engineering And Applied Technologies Limited Liability Company	751883.34	0.0023	15	0.0305	8
Hemphill Construction Company Incorporated	123205.0	0.0019	3	0.0061	185
Capitol Exhibit Services Incorporated	23159.35	0.0018	5	0.0102	55
Zilyen Incorporated	237116.0	0.0019	1	0.002	3
John Chadwick Corporation	3577.75	0.0018	1	0.002	0
Afp Technology Incorporated	36604.62	0.0018	2	0.0041	1
University Of Chicago	1117753.27	0.0026	13	0.0265	19000
Abbott Valve & Fitting Co	11260.42	0.0018	3	0.0061	16
Constellation Software Engineering, Corporation	82597.72	0.0018	3	0.0061	35
Hughes, Christopher	124862.0	0.0019	1	0.002	1
Yale University	768062.3	0.0023	11	0.0224	9323
Kwikspace Guam Incorporated	48541.98	0.0018	1	0.002	15
Techtrans International Incorporated	146680.23	0.0019	6	0.0122	200
Teletronics Technology Corp	2163140.0	0.0034	9	0.0183	250
Kemko Aerospace, Llc	3187.18	0.0018	1	0.002	3
Us Foods Culinary Equipment & Supplies Llc	4692.5	0.0018	1	0.002	25000
Radiant Zemax, Llc	0.0	0.0018	2	0.0041	70
Fedcorp Services Incorporated	8249.85	0.0018	1	0.002	1
Wichita State University	-87146.49	0.0017	5	0.0102	1800
Kaya Associates Incorporated	4006702.44	0.0047	7	0.0143	220
University Of Maine System	867550.26	0.0024	11	0.0224	6125
Brook-anco, Corporation	9316.0	0.0018	1	0.002	8
Maine Space Grant Consortium	737256.04	0.0023	3	0.0061	2
Century 2001 Incorporated	23139.25	0.0018	1	0.002	6
Gordano Ltd	4877.78	0.0018	1	0.002	13
Cost Incorporated	153691.0	0.0019	1	0.002	4
University Of Texas At El Paso	-92240.04	0.0017	3	0.0061	3600
Location Sound Corporation	-254.5	0.0018	1	0.002	47
Questyme Usa Incorporated	5335.0	0.0018	1	0.002	5
Tin-mar Incorporated	55464.5	0.0018	1	0.002	35
Standex International Corporation	18939.83	0.0018	2	0.0041	5500
Public Contracting Institute, Llc	9975.0	0.0018	1	0.002	2
Dynamic Engineering	9982.0	0.0018	1	0.002	12
Lockheed Martin Space Ops	14192966.13	0.0123	6	0.0122	20000
Enthought Incorporated	24995.0	0.0018	1	0.002	35
Objet Geometries Incorporated	-266.2	0.0018	1	0.002	300
Hydrogen Components Incorporated	27.67	0.0018	1	0.002	3
Thomson Reuters (scientific) Llc	18626.62	0.0018	1	0.002	600
Insight Management Consulting, Llc	17258.0	0.0018	1	0.002	2
Mosaic Atm Incorporated	522329.7	0.0021	4	0.0081	51
Mettler-toledo Incorporated	12613.88	0.0018	2	0.0041	8000
Btas Incorporated	34.96	0.0018	1	0.002	160
Ensco Incorporated	665845.7	0.0023	5	0.0102	800
Absl Power Solutions Incorporated	121426.0	0.0019	1	0.002	10000
University Of Alaska Fairbanks	1522832.65	0.0029	17	0.0346	4000
Manus Medical, Llc	64962.7	0.0018	1	0.002	3
Zemax, Llc	3375.0	0.0018	1	0.002	125
Luxel Corporation	17558.0	0.0018	3	0.0061	17
Taber Acquisition Corp	6745.42	0.0018	2	0.0041	54
Hamilton Sundstrand Space Systems International Incorporated	45607384.9	0.0356	7	0.0143	220000
Verder Scientific Incorporated	22158.29	0.0018	3	0.0061	80
Piedmont Aviation Component Services, Llc	11112.2	0.0018	2	0.0041	371
Epic Aviation, Llc	-64.39	0.0018	1	0.002	85
E. B. Atmus Co Incorporated	19419.5	0.0018	1	0.002	13
Servicesource Incorporated	662009.01	0.0023	3	0.0061	2355
Sc Jones Services Incorporated	757986.94	0.0023	5	0.0102	75
Atmospheric & Space Technology Research Associates	231623.0	0.0019	4	0.0081	8
Conax Technologies Llc	-88.66	0.0018	1	0.002	122
Scalable Network Technologies Incorporated	69692.0	0.0018	1	0.002	47
Tecma Incorporated	4283.8	0.0018	1	0.002	4
Alutiiq 3sg, Llc	38232.26	0.0018	4	0.0081	560
Comsol Incorporated	188872.0	0.0019	13	0.0265	300
Deltha-critique Nss Joint Venture	4888250.0	0.0054	8	0.0163	1
Nook Industries Incorporated	6766.25	0.0018	1	0.002	190
Silvan Industries Incorporated	-9.95	0.0018	1	0.002	700
Eden Cryogenics Llc	84051.0	0.0018	2	0.0041	39
Altech Environment Usa Corporation	9836.0	0.0018	1	0.002	30
The Rand Corporation	1779670.64	0.0031	2	0.0041	1700
Florida International University	212455.0	0.0019	2	0.0041	5381
Dsfederal Incorporated	89177.0	0.0018	1	0.002	3
Fbs Incorporated	124728.0	0.0019	1	0.002	18
Teravac	149612.76	0.0019	1	0.002	9
Canary Labs Incorporated	8235.0	0.0018	1	0.002	12
Varian Medical Systems Incorporated	46749.0	0.0018	1	0.002	5500
Edmo Distributors Incorporated	22458.0	0.0018	1	0.002	48
Trustees Of Boston University	2438550.0	0.0036	24	0.0489	8840
Vitalsmarts, Llc	24250.66	0.0018	3	0.0061	100
Delta Information Systems Incorporated	139625.0	0.0019	1	0.002	44
Katek Solutions	7411.44	0.0018	1	0.002	2
National Defense Industrial Association	9125.0	0.0018	1	0.002	60
3sl Incorporated	251700.65	0.0019	2	0.0041	10
Serene Corporation	43939.86	0.0018	1	0.002	58
Testvonics Incorporated	59526.0	0.0018	1	0.002	10
U.S. Hose Corp	36445.37	0.0018	2	0.0041	115
Boston Electronics Corporation	69944.0	0.0018	5	0.0102	8
Sutron Corporation	7564.0	0.0018	1	0.002	100
William S. Hein & Co Incorporated	15495.0	0.0018	1	0.002	75
Pro-tainer Incorporated	67669.69	0.0018	1	0.002	0
Nutting, Sandra S.	24915.2	0.0018	1	0.002	1
Infolytica Corp	5744.0	0.0018	1	0.002	30
Siemens Government Technologies Incorporated	32616.55	0.0018	1	0.002	166
Trustees Of Columbia University In The City Of New York	4572885.0	0.0052	13	0.0265	25000
Jacks' Technologies & Industries Incorporated	7449.98	0.0018	1	0.002	2
Electro Scientific Industries Incorporated	14963.8	0.0018	3	0.0061	600
Voxtel Incorporated	874997.0	0.0024	2	0.0041	23
Robert A. Fielden Incorporated	359966.78	0.002	1	0.002	10
Systima Technologies Incorporated	874403.0	0.0024	2	0.0041	27
Levin Professional Services Incorporated	45675.0	0.0018	4	0.0081	46
Flowserve Fcd Corporation	9.15	0.0018	1	0.002	14000
Spectral Dynamics Incorporated	25772.0	0.0018	2	0.0041	40
Wyoming Test Fixtures Incorporated	4424.0	0.0018	1	0.002	2
C. Overaa&co/bayview Engineering & Construction A Joint Vent	17836.0	0.0018	1	0.002	265
Maryland Radio Incorporated	3793.0	0.0018	1	0.002	3
Organizational Research & Solutions Incorporated	22925.0	0.0018	1	0.002	1
David Allen And Company	12995.0	0.0018	1	0.002	47
Ddm Novastar Incorporated	16667.25	0.0018	1	0.002	22
The Colorado Museum Of Natural History	-39915.86	0.0017	1	0.002	350
Sest Incorporated	-17504.92	0.0017	5	0.0102	14
T E Technology Incorporated	65.54	0.0018	1	0.002	31
Advanced Research Systems Incorporated	5155.0	0.0018	1	0.002	20
Howard University Incorporated	-8699.12	0.0018	1	0.002	5500
G.R.D. Incorporated	228809.47	0.0019	5	0.0102	12
Correlated Solutions Incorporated	66995.0	0.0018	1	0.002	16
Black Box Corporation	291.0	0.0018	1	0.002	3700
Media Fusion Incorporated	6868528.76	0.0069	20	0.0407	58
Peroxychem Llc	3566.3	0.0018	1	0.002	600
Fieldtech Avionics And Instruments Incorporated	225.0	0.0018	1	0.002	75
Stg International Incorporated	161576.0	0.0019	1	0.002	1500
Protonex Technology Corporation	12649.98	0.0018	1	0.002	50
Rosetta Stone Ltd.	40683.75	0.0018	3	0.0061	700
Foster Fuels Incorporated	-44.53	0.0018	1	0.002	72
Bally Ribbon Mills	1153582.46	0.0026	11	0.0224	260
Raytheon Technical Services Company Llc	3623952.56	0.0045	6	0.0122	71000
Nanovea Incorporated	-182.12	0.0018	1	0.002	17
Net Transcripts Incorporated	8139.83	0.0018	2	0.0041	23
A&a Sheet Metal Products Incorporated	6555.65	0.0018	1	0.002	75
Deltek Incorporated	24272.82	0.0018	3	0.0061	1646
The Scripps Research Institute	613009.0	0.0022	2	0.0041	2929
Centerpoint Energy Entex	40350.15	0.0018	3	0.0061	0
A-p-t Research Incorporated	4773069.94	0.0053	11	0.0224	85
Synergis Technologies Incorporated	6725.0	0.0018	1	0.002	98
Iron Bow Technologies, Llc	43089.79	0.0018	4	0.0081	284
Airfloat, Llc	6967.0	0.0018	1	0.002	30
Cafesoft Llc	15621.88	0.0018	1	0.002	2
Millennium Engineering And Integration Co	10427048.98	0.0095	15	0.0305	300
E Beam Incorporated	5263.21	0.0018	1	0.002	10
Micron Optics Incorporated	3235.0	0.0018	1	0.002	44
University System Of Maryland	-32941.82	0.0017	1	0.002	0
Cupery Corporation	52.14	0.0018	1	0.002	11
Chugach Federal Solutions Incorporated	15944499.82	0.0136	37	0.0754	758
Michael Stock	-3564.0	0.0018	1	0.002	0
Frost Electric Supply Company	32567.54	0.0018	2	0.0041	98
Speegle Construction Ii Incorporated	1398309.15	0.0028	16	0.0326	15
U.S. Satellite Laboratory Incorporated	-7.32	0.0018	1	0.002	7
Illinoisrocstar, Llc	124982.0	0.0019	1	0.002	13
Evoqua Water Technologies Llc	14941.0	0.0018	1	0.002	4500
Ats Industries Incorporated	4847.12	0.0018	1	0.002	4
At Laser Services	4644.0	0.0018	1	0.002	1
Blue Tech Incorporated	2529096.81	0.0036	79	0.1609	40
Bit Direct Incorporated	9824.55	0.0018	1	0.002	25
Delta Gear Incorporated	-36.96	0.0018	1	0.002	31
Aramark Uniform Services	6589.8	0.0018	2	0.0041	250
Faithful Impressions Incorporated	9979.64	0.0018	1	0.002	7
Applied Rapid Technologies Co Incorporated	-23.0	0.0018	1	0.002	11
National Institute Of Aerospace Associates	9755170.24	0.009	53	0.1079	98
Capital Reporting Company	4759.0	0.0018	1	0.002	30
Ost Global Solutions Incorporated	28850.0	0.0018	2	0.0041	7
Gms International Corporation	15714.4	0.0018	1	0.002	7
Dun & Bradstreet Incorporated	3419.66	0.0018	1	0.002	0
Central California Fluid System Technologies Incorporated	4268.72	0.0018	1	0.002	25
Keyence Corp Of America	67938.0	0.0018	3	0.0061	2691
Suss Microtec Incorporated	4841.41	0.0018	1	0.002	500
Premier & Companies Incorporated	9916.38	0.0018	2	0.0041	35
Stanford Research Systems Incorporated	57163.09	0.0018	11	0.0224	100
Red River Computer Company Incorporated	492803.91	0.0021	13	0.0265	68
Brown University In Providence In State Of Ri And Providence Plantations	1510456.56	0.0029	9	0.0183	3927
Victory Solutions Incorporated	6256089.76	0.0064	17	0.0346	12
Health, Mississippi State Department Of	-1534.4	0.0018	1	0.002	2600
Call Henry Incorporated	2628189.39	0.0037	37	0.0754	400
Space Systems Research Corporation	145192.0	0.0019	1	0.002	6
R. S. Means Company Llc	8642.45	0.0018	1	0.002	2300
Federal Express Corporation	10843.95	0.0018	4	0.0081	238935
Space Electronics, Llc	13266.0	0.0018	1	0.002	21
Drexel University	320355.66	0.002	10	0.0204	8874
Laser Mechanisms Incorporated	19983.0	0.0018	1	0.002	53
Roccor, Llc	874332.0	0.0024	2	0.0041	5
Personnel Development & Hiring	3292.33	0.0018	1	0.002	3
Oz Optics Limited	7235.3	0.0018	1	0.002	150
Stratton Park Engineering Co Incorporated	366312.0	0.002	2	0.0041	19
University Of Kansas Center For Research Incorporated	96732.0	0.0018	1	0.002	80
Phillips Corporation	278698.59	0.002	3	0.0061	243
American University	10000.0	0.0018	2	0.0041	4000
Govsmart Incorporated	6725.14	0.0018	1	0.002	14
Rolled Alloys Incorporated	6795.0	0.0018	1	0.002	250
Pfeiffer Vacuum Incorporated	72063.83	0.0018	7	0.0143	2200
Veraxx Engineering Corporation	4965.0	0.0018	1	0.002	35
Thermo Fisher Scientific (asheville) Llc	61391.19	0.0018	8	0.0163	30000
Ti2e	877599.01	0.0024	2	0.0041	2
North Atlantic Industries Incorporated	4884.0	0.0018	1	0.002	140
Toper Manufacturing Company Incorporated	1925.0	0.0018	1	0.002	12
Edwards Vacuum Incorporated	8932.98	0.0018	1	0.002	3200
Hutchins & Hutchins Incorporated	12891.0	0.0018	1	0.002	15
Graduate School	30036.0	0.0018	3	0.0061	225
Sciaky Incorporated	55525.0	0.0018	1	0.002	470
Nsd Scale Compamy Incorporated	8875.0	0.0018	1	0.002	45
Fairmont State University	4948.48	0.0018	3	0.0061	528
Air Products And Chemicals Incorporated	1917065.61	0.0032	24	0.0489	21000
Cribmaster Incorporated	-5924.12	0.0018	1	0.002	35000
Made In Space Incorporated	481498.22	0.0021	3	0.0061	8
Total Temperature Instrumentation Incorporated	71957.65	0.0018	6	0.0122	51
Bently Nevada Incorporated	101731.9	0.0018	4	0.0081	300000
Mcp Computer Products Incorporated	22063.99	0.0018	3	0.0061	20
Faro Technologies Incorporated	105646.75	0.0018	2	0.0041	235
Atmospheric And Environmental Research Incorporated	500765.02	0.0021	4	0.0081	5093
Analyze Incorporated	6385.0	0.0018	1	0.002	13
University Of Wisconsin System	3638955.98	0.0045	32	0.0652	3380
Bear Technologies, Llc	124821.0	0.0019	1	0.002	6
Security Support Services Llc	333240.43	0.002	8	0.0163	3
Texas Southern University (inc)	-425511.81	0.0014	1	0.002	2327
Justice Center Of Atlanta Incorporated	23741.36	0.0018	1	0.002	7
Optimal Synthesis Incorporated	98732.98	0.0018	1	0.002	19
Mrf Consulting Llc	116625.6	0.0018	1	0.002	18
Cnc Metalworks Incorporated	41216.0	0.0018	29	0.0591	3
Southern Research Institute	968744.8	0.0025	7	0.0143	530
Challenger Center For Space Science Education	-105.55	0.0018	2	0.0041	30
Trufocus Corporation	14633.8	0.0018	1	0.002	12
Sulzer Metco (us) Incorporated	-25.88	0.0018	1	0.002	13740
Apogee Labs Incorporated	4628.14	0.0018	1	0.002	20
Jdsu	45485.0	0.0018	1	0.002	1500
Dixie College (inc)	-3943.38	0.0018	1	0.002	1660
Ametek Precitech Incorporated	94225.0	0.0018	1	0.002	10675
Yellowstone Ecological Research Center	-4.87	0.0018	1	0.002	10
Bungo Box	1274.7	0.0018	1	0.002	3
Excelhelp.Com	6935.0	0.0018	1	0.002	4
Rolls-royce North American Technologies Incorporated	35535.0	0.0018	1	0.002	36200
Solipsys Corporation	84612.31	0.0018	1	0.002	0
