id	rate
13093	.301
13095	.311
13097	.314
13099	.305
13101	.067
13103	.079
13105	.322
13107	.303
13109	.089
13111	.3
13113	.084
13115	.311
13117	.086
13119	.318
13121	.307
13123	.098
13125	.311
13127	.082
13129	.331
13131	.098
13133	.311
13135	.094
13137	.094
13139	.091
13141	.377
13143	.313
13145	.072
13147	.338
13149	.324
13151	.304
13153	.073
13155	.345
13157	.309
13159	.327
13161	.335
13163	.349
13165	.396
13167	.319
13169	.086
13171	.353
13173	.084
13175	.308
13177	.079
13179	.085
13181	.303
13183	.059
13185	.082
13187	.311
13189	.321
13191	.096
13193	.33
13195	.083
13197	.099
13199	.332
13201	.087
13205	.304
13207	.302
13209	.085
13211	.098
13213	.323
13215	.092
13217	.326
13219	.062
13221	.082
13223	.307
13225	.302
13227	.308
13229	.093
13231	.318
13233	.308
13235	.071
13237	.304
13239	.318
13241	.304
13243	.33
13245	.303
13247	.32
13249	.338
13251	.337
13253	.307
13255	.354
13257	.307
13259	.307
13261	.329
13263	.098
13265	.324
13267	.087
13269	.33
13271	.362
13273	.316
13275	.093
13277	.306
13279	.098
13281	.078
13283	.319
13285	.329
13287	.33
13289	.314
13291	.09
13293	.333
13295	.096
13297	.31
13299	.307
13301	.388
13303	.34
13305	.317
13307	.091
13309	.091
13311	.095
13313	.325
13315	.316
13317	.317
13319	.307
13321	.308
15001	.308
15003	.063
15007	.096
15009	.097
16001	.091
16003	.321
16005	.084
16007	.052
16009	.321
16011	.059
16013	.077
16015	.071
16017	.095
16019	.059
16021	.32
16023	.045
16025	.31
16027	.306
16029	.06
16031	.059
16033	.041
16035	.318
16037	.039
16039	.077
16041	.04
16043	.066
16045	.304
16047	.055
16049	.083
16051	.068
16053	.059
16055	.087
16057	.059
16059	.065
16061	.052
16063	.097
16065	.055
16067	.06
16069	.055
16071	.05
16073	.041
16075	.077
16077	.067
16079	.319
16081	.051
16083	.068
16085	.314
16087	.084
17001	.079
17003	.312
17005	.093
17007	.338
17009	.045
17011	.309
17013	.095
17015	.305
17017	.073
17019	.082
17021	.099
17023	.331
17025	.314
17027	.079
17029	.091
17031	.306
17033	.305
17035	.097
17037	.092
17039	.092
17041	.091
17043	.086
17045	.307
17047	.091
17049	.079
17051	.316
17053	.304
17055	.346
17057	.325
17059	.31
17061	.092
17063	.314
17065	.093
17067	.313
17069	.328
17071	.094
17073	.086
17075	.3
17077	.073
17079	.095
17081	.3
17083	.088
17085	.081
17087	.304
17089	.099
17091	.328
17093	.304
17095	.303
17097	.3
17099	.324
17101	.303
17103	.309
17105	.307
17107	.095
17109	.077
17111	.093
17113	.074
17115	.324
17117	.305
17119	.097
17121	.319
17123	.306
17125	.343
17127	.08
17129	.078
17131	.089
17133	.078
17135	.322
17137	.084
17139	.09
17141	.319
17143	.316
17145	.319
17147	.082
17149	.081
17151	.306
17153	.319
17155	.35
17157	.094
17159	.305
17161	.095
17163	.308
17165	.312
17167	.079
17169	.066
17171	.075
17173	.3
17175	.098
17177	.316
17179	.313
17181	.308
17183	.32
17185	.303
17187	.08
17189	.08
17191	.097
17193	.086
17195	.306
17197	.099
17199	.096
17201	.355
17203	.086
18001	.334
18003	.093
18005	.088
18007	.09
18009	.333
18011	.068
18013	.078
18015	.099
18017	.305
18019	.082
18021	.096
18023	.092
18025	.305
18027	.049
18029	.089
18031	.31
18033	.324
18035	.095
18037	.08
18039	.35
18041	.334
18043	.074
18045	.316
18047	.089
18049	.312
18051	.067
18053	.311
18055	.071
18057	.061
18059	.078
18061	.078
18063	.068
18065	.32
18067	.319
18069	.311
18071	.301
18073	.087
18075	.304
18077	.095
18079	.322
18081	.074
18083	.066
18085	.31
18087	.34
18089	.094
18091	.307
18093	.311
18095	.097
18097	.084
18099	.314
18101	.063
18103	.323
18105	.056
18107	.097
18109	.075
18111	.089
18113	.345
18115	.305
18117	.092
18119	.081
18121	.083
18123	.088
18125	.087
18127	.082
18129	.07
18131	.095
18133	.082
18135	.302
18137	.091
18139	.095
18141	.304
18143	.321
18145	.088
18147	.081
18149	.326
18151	.329
18153	.093
18155	.07
18157	.085
18159	.303
18161	.086
18163	.074
18165	.308
18167	.092
18169	.32
18171	.301
18173	.069
18175	.312
18177	.309
18179	.091
18181	.094
18183	.316
19001	.051
19003	.06
19005	.093
19007	.094
19009	.051
19011	.058
19013	.058
19015	.059
19017	.05
19019	.059
19021	.055
19023	.06
19025	.054
19027	.042
19029	.058
19031	.057
19033	.067
19035	.044
19037	.084
19039	.074
19041	.062
19043	.079
19045	.077
19047	.047
19049	.051
19051	.301
19053	.066
19055	.068
19057	.082
19059	.058
19061	.06
19063	.086
19065	.085
19067	.087
19069	.07
19071	.07
19073	.063
19075	.049
19077	.056
19079	.081
19081	.09
19083	.06
19085	.044
19087	.088
19089	.086
19091	.062
19093	.058
19095	.058
19097	.077
19099	.081
19101	.087
19103	.044
19105	.063
19107	.071
19109	.056
19111	.314
19113	.065
19115	.08
19117	.06
19119	.043
19121	.058
19123	.077
19125	.057
19127	.07
19129	.043
19131	.054
19133	.071
19135	.075
19137	.087
19139	.089
19141	.053
19143	.054
19145	.087
19147	.07
19149	.047
19151	.052
19153	.062
19155	.048
19157	.066
19159	.053
19161	.047
19163	.073
19165	.039
19167	.041
19169	.045
19171	.066
19173	.067
19175	.06
19177	.08
19179	.094
19181	.058
19183	.049
19185	.064
19187	.083
19189	.091
19191	.058
19193	.057
19195	.063
19197	.084
20001	.078
20003	.079
20005	.081
20007	.051
20009	.061
20011	.065
20013	.056
20015	.072
20017	.054
20019	.084
20021	.085
20023	.037
20025	.037
20027	.042
20029	.045
20031	.057
20033	.038
20035	.076
20037	.081
20039	.033
20041	.051
20043	.088
20045	.054
20047	.044
20049	.31
20051	.036
20053	.041
20055	.043
20057	.038
20059	.071
20061	.069
20063	.035
20065	.043
20067	.042
20069	.034
20071	.045
20073	.072
20075	.042
20077	.056
20079	.074
20081	.037
20083	.042
20085	.06
20087	.067
20089	.049
20091	.068
20093	.045
20095	.063
20097	.049
20099	.078
20101	.034
20103	.073
20105	.063
20107	.084
20109	.04
20111	.057
20113	.051
20115	.063
20117	.049
20119	.042
20121	.068
20123	.058
20125	.094
20127	.068
20129	.047
20131	.043
20133	.07
20135	.04
20137	.047
20139	.07
20141	.044
20143	.065
20145	.037
20147	.06
20149	.041
20151	.053
20153	.035
20155	.063
20157	.041
20159	.051
20161	.032
20163	.073
20165	.059
20167	.046
20169	.057
20171	.032
20173	.088
20175	.051
20177	.064
20179	.032
20181	.039
20183	.043
20185	.061
20187	.034
20189	.053
20191	.09
20193	.036
20195	.036
20197	.066
20199	.059
20201	.045
20203	.035
20205	.302
20207	.089
20209	.304
21001	.301
21003	.343
21005	.309
21007	.302
21009	.316
21011	.333
21013	.325
21015	.092
21017	.091
21019	.083
21021	.31
21023	.302
21025	.3
21027	.321
21029	.308
21031	.337
21033	.309
21035	.08
21037	.307
21039	.091
21041	.324
21043	.335
21045	.302
21047	.329
21049	.314
21051	.335
21053	.09
21055	.308
21057	.33
21059	.091
21061	.328
21063	.326
21065	.329
21067	.077
21069	.322
21071	.324
21073	.091
21075	.344
21077	.311
21079	.319
21081	.301
21083	.303
21085	.364
21087	.324
21089	.098
21091	.336
21093	.3
21095	.325
21097	.311
21099	.306
21101	.098
21103	.307
21105	.092
21107	.091
21109	.375
21111	.305
21113	.088
21115	.311
21117	.3
21119	.32
21121	.315
21123	.307
21125	.301
21127	.331
21129	.323
21131	.337
21133	.32
21135	.351
21137	.321
21139	.098
21141	.304
21143	.322
21145	.091
21147	.333
21149	.306
21151	.087
21153	.214
21155	.329
21157	.307
21159	.324
21161	.311
21163	.324
21165	.347
21167	.308
21169	.358
21171	.34
21173	.326
21175	.345
21177	.307
21179	.315
21181	.325
21183	.094
21185	.086
21187	.301
21189	.312
21191	.317
21193	.325
21195	.307
21197	.367
21199	.3
21201	.096
21203	.328
21205	.086
21207	.308
21209	.091
21211	.096
21213	.318
21215	.302
21217	.302
21219	.326
21221	.36
21223	.307
21225	.308
21227	.092
21229	.327
21231	.336
21233	.088
21235	.314
21237	.339
21239	.083
22001	.071
22003	.301
22005	.067
22007	.088
22009	.081
22011	.08
22013	.305
22015	.064
22017	.079
22019	.072
22021	.307
22023	.056
22025	.303
22027	.303
22029	.313
22031	.09
22033	.068
22035	.342
22037	.08
22039	.086
22041	.313
22043	.082
22045	.076
22047	.304
22049	.078
22051	.065
22053	.064
22055	.059
22057	.049
22059	.073
22061	.078
22063	.07
22065	.093
22067	.351
22069	.084
22071	.307
22073	.076
22075	.062
22077	.079
22079	.069
22081	.096
22083	.307
22085	.081
22087	.305
22089	.065
22091	.318
22093	.3
22095	.084
22097	.083
22099	.075
22101	.086
22103	.052
22105	.081
22107	.335
22109	.052
22111	.322
22113	.072
22115	.067
22117	.096
22119	.091
22121	.074
22123	.37
22125	.082
22127	.091
23001	.084
23003	.093
23005	.065
23007	.312
23009	.068
23011	.073
23013	.07
23015	.063
23017	.309
23019	.08
23021	.316
23023	.067
23025	.307
23027	.078
23029	.304
23031	.074
24001	.075
24003	.065
24005	.077
24009	.059
24011	.088
24013	.06
24015	.086
24017	.059
24019	.309
24021	.059
24023	.069
24025	.071
24027	.054
24029	.071
24031	.053
24033	.073
24035	.066
24037	.056
24039	.095
24041	.068
24043	.094
24045	.077
24047	.075
24510	.306
25001	.08
25003	.084
25005	.318
25007	.05
25009	.301
25011	.087
25013	.305
25015	.073
25017	.081
25019	.05
25021	.085
25023	.097
25025	.093
25027	.301
26001	.367
26003	.32
26005	.332
26007	.339
26009	.347
26011	.358
26013	.243
26015	.305
26017	.323
26019	.32
26021	.335
26023	.34
26025	.324
26027	.314
26029	.339
26031	.086
26033	.316
26035	.368
26037	.094
26039	.337
26041	.315
26043	.32
26045	.303
26047	.322
26049	.358
26051	.365
26053	.333
26055	.32
26057	.337
26059	.372
26061	.302
26063	.348
26065	.316
26067	.334
26069	.364
26071	.317
26073	.085
26075	.349
26077	.312
26079	.343
26081	.317
26083	.319
26085	.375
26087	.381
26089	.09
26091	.361
26093	.336
26095	.332
26097	.061
26099	.381
26101	.326
26103	.301
26105	.329
26107	.33
26109	.325
26111	.302
26113	.35
26115	.342
26117	.376
26119	.389
26121	.36
26123	.338
26125	.356
26127	.352
26129	.327
26131	.338
26133	.353
26135	.391
26137	.347
26139	.328
26141	.36
26143	.346
26145	.329
26147	.39
26149	.339
26151	.378
26153	.327
26155	.352
26157	.363
26159	.332
26161	.093
26163	.383
26165	.383
27001	.081
27003	.079
27005	.064
27007	.072
27009	.07
27011	.045
27013	.063
27015	.055
27017	.073
27019	.07
27021	.079
27023	.061
27025	.084
27027	.036
27029	.091
27031	.047
27033	.052
27035	.074
27037	.069
27039	.061
27041	.056
27043	.076
27045	.07
27047	.076
27049	.067
27051	.068
27053	.073
27055	.071
27057	.073
27059	.083
27061	.092
27063	.047
27065	.303
27067	.055
27069	.052
27071	.073
27073	.054
27075	.075
27077	.069
27079	.086
27081	.045
27083	.049
27085	.08
27087	.06
27089	.062
27091	.069
27093	.078
27095	.305
27097	.09
27099	.055
27101	.039
27103	.061
27105	.045
27107	.051
27109	.055
27111	.063
27113	.056
27115	.091
27117	.053
27119	.044
27121	.064
27123	.074
27125	.067
27127	.061
27129	.064
27131	.075
27133	.051
27135	.05
27137	.082
27139	.068
27141	.081
27143	.065
27145	.068
27147	.077
27149	.043
27151	.066
27153	.075
27155	.062
27157	.071
27159	.088
27161	.07
27163	.068
27165	.075
27167	.047
27169	.07
27171	.082
27173	.051
28001	.08
28003	.313
28005	.086
28007	.318
28009	.326
28011	.09
28013	.097
28015	.098
28017	.332
28019	.313
28021	.35
28023	.3
28025	.378
28027	.311
28029	.099
28031	.077
28033	.072
28035	.077
28037	.09
28039	.3
28041	.099
28043	.31
28045	.075
28047	.072
28049	.079
28051	.366
28053	.302
28055	.092
28057	.096
28059	.08
28061	.302
28063	.355
28065	.306
28067	.071
28069	.303
28071	.069
28073	.066
28075	.087
28077	.302
28079	.087
28081	.098
28083	.316
28085	.088
28087	.302
28089	.063
28091	.301
28093	.312
28095	.337
28097	.327
28099	.084
28101	.079
28103	.376
28105	.08
28107	.319
28109	.083
28111	.304
28113	.098
28115	.087
28117	.315
28119	.311
28121	.056
28123	.059
28125	.09
28127	.082
28129	.082
28131	.072
28133	.318
28135	.099
28137	.303
28139	.325
28141	.301
28143	.33
28145	.088
28147	.303
28149	.091
28151	.313
28153	.094
28155	.335
28157	.301
28159	.351
28161	.329
28163	.305
29001	.065
29003	.076
29005	.079
29007	.092
29009	.081
29011	.317
29013	.308
29015	.093
29017	.088
29019	.062
29021	.087
29023	.08
29025	.086
29027	.08
29029	.079
29031	.069
29033	.098
29035	.087
29037	.097
29039	.086
29041	.305
29043	.08
29045	.313
29047	.086
29049	.087
29051	.067
29053	.084
29055	.307
29057	.301
29059	.094
29061	.087
29063	.093
29065	.094
29067	.098
29069	.311
29071	.315
29073	.308
29075	.068
29077	.083
29079	.069
29081	.078
29083	.096
29085	.323
29087	.071
29089	.083
29091	.092
29093	.087
29095	.309
29097	.084
29099	.306
29101	.08
29103	.059
29105	.31
29107	.09
29109	.078
29111	.083
29113	.313
29115	.303
29117	.078
29119	.07
29121	.079
29123	.098
29125	.087
29127	.089
29129	.079
29131	.306
29133	.097
29135	.078
29137	.31
29139	.303
29141	.313
29143	.089
29145	.079
29147	.059
29149	.09
29151	.099
29153	.076
29155	.321
29157	.072
29159	.081
29161	.071
29163	.083
29165	.08
29167	.089
29169	.068
29171	.074
29173	.08
29175	.094
29177	.083
29179	.327
29181	.095
29183	.087
29185	.303
29186	.093
29187	.309
29189	.096
29195	.079
29197	.078
29199	.322
29201	.092
29203	.096
29205	.081
29207	.09
29209	.09
29211	.064
29213	.086
29215	.088
29217	.079
29219	.312
29221	.337
29223	.095
29225	.09
29227	.084
29229	.096
29510	.311
30001	.044
30003	.302
30005	.05
30007	.062
30009	.048
30011	.039
30013	.052
30015	.042
30017	.046
30019	.042
30021	.048
30023	.065
30025	.037
30027	.047
30029	.088
30031	.055
30033	.034
30035	.072
30037	.047
30039	.082
30041	.051
30043	.058
30045	.046
30047	.083
30049	.043
30051	.047
30053	.311
30055	.032
30057	.048
30059	.078
30061	.086
30063	.056
30065	.075
30067	.061
30069	.045
30071	.048
30073	.06
30075	.04
30077	.073
30079	.031
30081	.075
30083	.046
30085	.075
30087	.073
30089	.312
30091	.043
30093	.055
30095	.052
30097	.031
30099	.04
30101	.041
30103	.051
30105	.046
30107	.043
30109	.041
30111	.047
31001	.056
31003	.036
31005	.044
31007	.035
31009	.052
31011	.039
31013	.071
31015	.036
31017	.031
31019	.035
31021	.057
31023	.039
31025	.046
31027	.032
31029	.03
31031	.025
31033	.041
31035	.043
31037	.04
31039	.035
31041	.031
31043	.055
31045	.044
31047	.048
31049	.038
31051	.037
31053	.049
31055	.05
31057	.04
31059	.044
31061	.037
31063	.03
31065	.041
31067	.059
31069	.044
31071	.025
31073	.038
31075	.031
31077	.033
31079	.044
31081	.034
31083	.036
31085	.042
31087	.066
31089	.032
31091	.04
31093	.038
31095	.046
31097	.039
31099	.038
31101	.039
31103	.044
31105	.043
31107	.036
31109	.042
31111	.04
31113	.043
31115	.032
31117	.04
31119	.042
31121	.04
31123	.041
31125	.036
31127	.054
31129	.047
31131	.05
31133	.041
31135	.031
31137	.038
31139	.036
31141	.044
31143	.042
31145	.042
31147	.057
31149	.031
31151	.04
31153	.047
31155	.045
31157	.048
31159	.037
31161	.035
31163	.03
31165	.038
31167	.036
31169	.043
31171	.038
31173	.338
31175	.029
31177	.041
31179	.038
31181	.042
31183	.032
31185	.057
32001	.099
32003	.339
32005	.326
32007	.068
32009	.083
32011	.093
32013	.086
32015	.072
32017	.094
32019	.363
32021	.305
32023	.361
32027	.306
32029	.348
32031	.331
32033	.084
32510	.328
33001	.07
33003	.054
33005	.065
33007	.078
33009	.056
33011	.075
33013	.063
33015	.075
33017	.066
33019	.065
34001	.322
34003	.084
34005	.091
34007	.309
34009	.085
34011	.326
34013	.311
34015	.3
34017	.316
34019	.069
34021	.081
34023	.092
34025	.087
34027	.076
34029	.096
34031	.317
34033	.301
34035	.079
34037	.085
34039	.098
34041	.088
35001	.075
35003	.081
35005	.068
35006	.063
35007	.08
35009	.044
35011	.043
35013	.069
35015	.06
35017	.323
35019	.075
35021	.045
35023	.076
35025	.083
35027	.051
35028	.029
35029	.334
35031	.086
35033	.331
35035	.068
35037	.059
35039	.072
35041	.044
35043	.09
35045	.083
35047	.078
35049	.065
35051	.048
35053	.05
35055	.087
35057	.088
35059	.055
35061	.085
36001	.071
36003	.079
36005	.333
36007	.085
36009	.085
36011	.08
36013	.078
36015	.089
36017	.087
36019	.09
36021	.077
36023	.085
36025	.084
36027	.082
36029	.083
36031	.078
36033	.078
36035	.091
36037	.072
36039	.084
36041	.056
36043	.076
36045	.078
36047	.31
36049	.076
36051	.075
36053	.074
36055	.083
36057	.088
36059	.072
36061	.092
36063	.088
36065	.073
36067	.079
36069	.067
36071	.082
36073	.082
36075	.093
36077	.068
36079	.07
36081	.091
36083	.077
36085	.089
36087	.074
36089	.089
36091	.064
36093	.078
36095	.076
36097	.074
36099	.073
36101	.095
36103	.075
36105	.086
36107	.079
36109	.056
36111	.081
36113	.072
36115	.074
36117	.078
36119	.074
36121	.078
36123	.06
37001	.318
37003	.336
37005	.309
37007	.348
37009	.3
37011	.079
37013	.312
37015	.305
37017	.32
37019	.305
37021	.082
37023	.341
37025	.314
37027	.352
37029	.071
37031	.076
37033	.324
37035	.336
37037	.08
37039	.342
37041	.319
37043	.308
37045	.343
37047	.325
37049	.3
37051	.091
37053	.05
37055	.068
37057	.325
37059	.321
37061	.087
37063	.08
37065	.363
37067	.095
37069	.097
37071	.333
37073	.071
37075	.334
37077	.302
37079	.302
37081	.31
37083	.331
37085	.309
37087	.085
37089	.086
37091	.094
37093	.083
37095	.059
37097	.321
37099	.078
37101	.095
37103	.309
37105	.335
37107	.314
37109	.332
37111	.341
37113	.092
37115	.093
37117	.306
37119	.31
37121	.31
37123	.333
37125	.095
37127	.319
37129	.091
37131	.307
37133	.083
37135	.063
37137	.301
37139	.091
37141	.308
37143	.303
37145	.308
37147	.3
37149	.082
37151	.31
37153	.332
37155	.315
37157	.317
37159	.328
37161	.343
37163	.083
37165	.365
37167	.319
37169	.301
37171	.318
37173	.091
37175	.085
37177	.088
37179	.3
37181	.33
37183	.083
37185	.327
37187	.317
37189	.069
37191	.088
37193	.329
37195	.319
37197	.093
37199	.309
38001	.027
38003	.034
38005	.053
38007	.013
38009	.029
38011	.027
38013	.022
38015	.028
38017	.037
38019	.025
38021	.041
38023	.034
38025	.036
38027	.038
38029	.051
38031	.028
38033	.025
38035	.035
38037	.032
38039	.036
38041	.027
38043	.034
38045	.043
38047	.027
38049	.029
38051	.031
38053	.022
38055	.034
38057	.033
38059	.03
38061	.044
38063	.029
38065	.031
38067	.051
38069	.04
38071	.032
38073	.06
38075	.033
38077	.043
38079	.097
38081	.065
38083	.037
38085	.043
38087	.012
38089	.028
38091	.021
38093	.032
38095	.026
38097	.035
38099	.045
38101	.028
38103	.038
38105	.02
39001	.338
39003	.302
39005	.314
39007	.326
39009	.086
39011	.301
39013	.092
39015	.319
39017	.091
39019	.332
39021	.314
39023	.099
39025	.094
39027	.339
39029	.325
39031	.323
39033	.332
39035	.085
39037	.099
39039	.317
39041	.067
39043	.095
39045	.082
39047	.317
39049	.082
39051	.321
39053	.095
39055	.065
39057	.094
39059	.308
39061	.089
39063	.091
39065	.312
39067	.306
39069	.309
39071	.353
39073	.304
39075	.063
39077	.328
39079	.305
39081	.327
39083	.087
39085	.079
39087	.084
39089	.089
39091	.312
39093	.091
39095	.313
39097	.085
39099	.318
39101	.302
39103	.075
39105	.352
39107	.078
39109	.31
39111	.315
39113	.31
39115	.346
39117	.3
39119	.319
39121	.34
39123	.307
39125	.315
39127	.328
39129	.303
39131	.347
39133	.092
39135	.311
39137	.09
39139	.318
39141	.315
39143	.308
39145	.321
39147	.32
39149	.319
39151	.31
39153	.096
39155	.335
39157	.302
39159	.08
39161	.332
39163	.313
39165	.085
39167	.094
39169	.089
39171	.341
39173	.3
39175	.312
40001	.076
40003	.055
40005	.084
40007	.033
40009	.059
40011	.057
40013	.052
40015	.061
40017	.055
40019	.057
40021	.056
40023	.076
40025	.035
40027	.052
40029	.088
40031	.051
40033	.04
40035	.055
40037	.081
40039	.049
40041	.06
40043	.046
40045	.045
40047	.045
40049	.059
40051	.074
40053	.042
40055	.079
40057	.069
40059	.043
40061	.084
40063	.307
40065	.048
40067	.086
40069	.07
40071	.081
40073	.043
40075	.062
40077	.304
40079	.087
40081	.067
40083	.056
40085	.054
40087	.056
40089	.316
40091	.082
40093	.045
40095	.075
40097	.081
40099	.047
40101	.081
40103	.077
40105	.093
40107	.089
40109	.061
40111	.085
40113	.074
40115	.062
40117	.082
40119	.063
40121	.065
40123	.051
40125	.065
40127	.089
40129	.045
40131	.072
40133	.092
40135	.087
40137	.084
40139	.038
40141	.056
40143	.068
40145	.066
40147	.059
40149	.063
40151	.042
40153	.065
41001	.085
41003	.075
41005	.304
41007	.082
41009	.326
41011	.317
41013	.361
41015	.312
41017	.335
41019	.34
41021	.056
41023	.099
41025	.35
41027	.066
41029	.315
41031	.329
41033	.333
41035	.32
41037	.301
41039	.315
41041	.094
41043	.336
41045	.093
41047	.303
41049	.074
41051	.309
41053	.093
41055	.076
41057	.082
41059	.078
41061	.302
41063	.087
41065	.08
41067	.096
41069	.067
41071	.31
42001	.074
42003	.072
42005	.08
42007	.084
42009	.309
42011	.091
42013	.074
42015	.076
42017	.073
42019	.071
42021	.088
42023	.367
42025	.3
42027	.056
42029	.063
42031	.083
42033	.098
42035	.082
42037	.082
42039	.301
42041	.068
42043	.081
42045	.079
42047	.329
42049	.092
42051	.091
42053	.302
42055	.086
42057	.343
42059	.078
42061	.302
42063	.078
42065	.095
42067	.076
42069	.083
42071	.075
42073	.089
42075	.07
42077	.093
42079	.092
42081	.093
42083	.3
42085	.313
42087	.304
42089	.09
42091	.07
42093	.059
42095	.088
42097	.094
42099	.081
42101	.31
42103	.086
42105	.303
42107	.301
42109	.086
42111	.085
42113	.079
42115	.078
42117	.078
42119	.088
42121	.087
42123	.073
42125	.079
42127	.066
42129	.078
42131	.069
42133	.084
44001	.311
44003	.319
44005	.3
44007	.335
44009	.092
45001	.348
45003	.094
45005	.225
45007	.325
45009	.381
45011	.39
45013	.087
45015	.307
45017	.344
45019	.09
45021	.362
45023	.211
45025	.368
45027	.361
45029	.342
45031	.33
45033	.372
45035	.303
